id	item_group_id	title	description	link	image_link	price	availability	condition	brand	identifier_exists	google_product_category	product_type	adult	custom_label_0	custom_label_1	custom_label_2
39-106		Baked Ziti with Beef and Eggplant - Fat Loss Meal (475 cal, 46g protein)	Beef in rich tomato and eggplant sauce, ziti and mozzarella. Fat Loss portion (lighter carbs): 475 calories, 46g protein, 31g carbs, 17g fat. Gluten Free. Fresh, chef-made meal prep from The Strong Kitchen in Hamden, CT — fully cooked, just heat and eat. Delivered Sunday/Monday across Connecticut or pick up in Hamden. Ingredients: Lean ground beef, eggplant, crushed tomatoes, garlic, low-fat mozzarella, organic brown rice pasta (rice only), onion, parsley, salt.	https://thestrongkitchen.com/products/39	https://thestrongkitchen.com/uploads/media/products/39/featured-image/538/baked-ziti-with-beef-and-eggplant-corrected.jpg	14.85 USD	in_stock	new	The Strong Kitchen	no	Food, Beverages & Tobacco > Food Items > Prepared Foods	Meals > Complete Meals	no	Meals	Fat Loss	menu-week-2
108-189		Pepperjack Turkey Burger - Fat Loss Meal (512 cal, 54g protein)	Pepperjack Turkey Burger with Crispy Sweet Potato Fries & Garlic Cauliflower. Fat Loss portion (lighter carbs): 512 calories, 54g protein, 29g carbs, 20g fat. Gluten Free • Dairy Free. Fresh, chef-made meal prep from The Strong Kitchen in Hamden, CT — fully cooked, just heat and eat. Delivered Sunday/Monday across Connecticut or pick up in Hamden. Ingredients: Turkey, sweet potatoes, cauliflower, low-fat pepperjack, garlic, olive oil, aleppo pepper, salt, pepper.	https://thestrongkitchen.com/products/108	https://thestrongkitchen.com/uploads/media/products/108/featured-image/520/pepperjack-turkey-burger-corrected.jpg	16.25 USD	in_stock	new	The Strong Kitchen	no	Food, Beverages & Tobacco > Food Items > Prepared Foods	Meals > Complete Meals	no	Meals	Fat Loss	menu-week-2
352-574	352	Blackened Chicken - Fat Loss Meal (513 cal, 56g protein)	Blackened Chicken with Caribbean Rice and Orange-Honey Dressing. Fat Loss portion (lighter carbs): 513 calories, 56g protein, 43g carbs, 13g fat. Gluten Free • Dairy Free. Fresh, chef-made meal prep from The Strong Kitchen in Hamden, CT — fully cooked, just heat and eat. Delivered Sunday/Monday across Connecticut or pick up in Hamden. Ingredients: Chicken breast, brown rice, red cabbage, peas, coconut milk, honey, mango, cilantro, ginger, orange juice, oil, cider vinegar, spices, salt.	https://thestrongkitchen.com/products/352	https://thestrongkitchen.com/uploads/media/products/352/featured-image/532/blackened-chicken-corrected.jpg	15.75 USD	in_stock	new	The Strong Kitchen	no	Food, Beverages & Tobacco > Food Items > Prepared Foods	Meals > Complete Meals	no	Meals	Fat Loss	menu-week-2
352-575	352	Blackened Chicken - Performance Meal (593 cal, 59g protein)	Blackened Chicken with Caribbean Rice and Orange-Honey Dressing. Performance portion (balanced): 593 calories, 59g protein, 60g carbs, 13g fat. Gluten Free • Dairy Free. Fresh, chef-made meal prep from The Strong Kitchen in Hamden, CT — fully cooked, just heat and eat. Delivered Sunday/Monday across Connecticut or pick up in Hamden. Ingredients: Chicken breast, brown rice, red cabbage, peas, coconut milk, honey, mango, cilantro, ginger, orange juice, oil, cider vinegar, spices, salt.	https://thestrongkitchen.com/products/352	https://thestrongkitchen.com/uploads/media/products/352/featured-image/532/blackened-chicken-corrected.jpg	15.95 USD	in_stock	new	The Strong Kitchen	no	Food, Beverages & Tobacco > Food Items > Prepared Foods	Meals > Complete Meals	no	Meals	Performance	menu-week-2
414-666	414	Cajun Shrimp - Fat Loss Meal (458 cal, 45g protein)	over Pesto Rice, Peas and Zucchini. Fat Loss portion (lighter carbs): 458 calories, 45g protein, 35g carbs, 15g fat. Gluten Free. Fresh, chef-made meal prep from The Strong Kitchen in Hamden, CT — fully cooked, just heat and eat. Delivered Sunday/Monday across Connecticut or pick up in Hamden. Ingredients: Sustainably raised shrimp, long grain rice, yellow squash, basil, peas, garlic, onion, parmesan, lemon, parsley, pepper, cayenne, brown sugar, salt, spices.	https://thestrongkitchen.com/products/414	https://thestrongkitchen.com/uploads/media/products/414/featured-image/540/cajun-shrimp-corrected.jpg	16.55 USD	in_stock	new	The Strong Kitchen	no	Food, Beverages & Tobacco > Food Items > Prepared Foods	Meals > Complete Meals	no	Meals	Fat Loss	menu-week-2
414-667	414	Cajun Shrimp - Performance Meal (556 cal, 49g protein)	over Pesto Rice, Peas and Zucchini. Performance portion (balanced): 556 calories, 49g protein, 53g carbs, 16g fat. Gluten Free. Fresh, chef-made meal prep from The Strong Kitchen in Hamden, CT — fully cooked, just heat and eat. Delivered Sunday/Monday across Connecticut or pick up in Hamden. Ingredients: Sustainably raised shrimp, long grain rice, yellow squash, basil, peas, garlic, onion, parmesan, lemon, parsley, pepper, cayenne, brown sugar, salt, spices.	https://thestrongkitchen.com/products/414	https://thestrongkitchen.com/uploads/media/products/414/featured-image/540/cajun-shrimp-corrected.jpg	16.75 USD	in_stock	new	The Strong Kitchen	no	Food, Beverages & Tobacco > Food Items > Prepared Foods	Meals > Complete Meals	no	Meals	Performance	menu-week-2
414-977	414	Cajun Shrimp - Protein Plus Meal (516 cal, 58g protein)	over Pesto Rice, Peas and Zucchini. Protein Plus portion (extra protein): 516 calories, 58g protein, 35g carbs, 16g fat. Gluten Free. Fresh, chef-made meal prep from The Strong Kitchen in Hamden, CT — fully cooked, just heat and eat. Delivered Sunday/Monday across Connecticut or pick up in Hamden. Ingredients: Sustainably raised shrimp, long grain rice, yellow squash, basil, peas, garlic, onion, parmesan, lemon, parsley, pepper, cayenne, brown sugar, salt, spices.	https://thestrongkitchen.com/products/414	https://thestrongkitchen.com/uploads/media/products/414/featured-image/540/cajun-shrimp-corrected.jpg	18.55 USD	in_stock	new	The Strong Kitchen	no	Food, Beverages & Tobacco > Food Items > Prepared Foods	Meals > Complete Meals	no	Meals	Protein Plus	menu-week-2
227-385	227	Mango-Basil Salmon - Fat Loss Meal (458 cal, 45g protein)	Mango-Basil Salmon with Roasted Butternut, Crunchy Chickpeas, Quinoa and Kale. Fat Loss portion (lighter carbs): 458 calories, 45g protein, 35g carbs, 15g fat. Gluten Free • Dairy Free. Fresh, chef-made meal prep from The Strong Kitchen in Hamden, CT — fully cooked, just heat and eat. Delivered Sunday/Monday across Connecticut or pick up in Hamden. Ingredients: Faroe island salmon, quinoa, butternut squash, chickpeas, kale, mango, basil, olive oil, maple syrup, parsley, cayenne, salt.	https://thestrongkitchen.com/products/227	https://thestrongkitchen.com/uploads/media/products/227/featured-image/582/mango-basil-salmon-corrected.jpg	17.95 USD	in_stock	new	The Strong Kitchen	no	Food, Beverages & Tobacco > Food Items > Prepared Foods	Meals > Complete Meals	no	Meals	Fat Loss	menu-week-2
227-386	227	Mango-Basil Salmon - Performance Meal (556 cal, 49g protein)	Mango-Basil Salmon with Roasted Butternut, Crunchy Chickpeas, Quinoa and Kale. Performance portion (balanced): 556 calories, 49g protein, 53g carbs, 16g fat. Gluten Free • Dairy Free. Fresh, chef-made meal prep from The Strong Kitchen in Hamden, CT — fully cooked, just heat and eat. Delivered Sunday/Monday across Connecticut or pick up in Hamden. Ingredients: Faroe island salmon, quinoa, butternut squash, chickpeas, kale, mango, basil, olive oil, maple syrup, parsley, cayenne, salt.	https://thestrongkitchen.com/products/227	https://thestrongkitchen.com/uploads/media/products/227/featured-image/582/mango-basil-salmon-corrected.jpg	18.25 USD	in_stock	new	The Strong Kitchen	no	Food, Beverages & Tobacco > Food Items > Prepared Foods	Meals > Complete Meals	no	Meals	Performance	menu-week-2
160-299	160	Crispy Mediterranean Garlic Chicken - Fat Loss Meal (356 cal, 36g protein)	Crispy Mediterranean Garlic Chicken with Herbed Broccoli and Creamy Sundried Tomato Rice. Fat Loss portion (lighter carbs): 356 calories, 36g protein, 35g carbs, 8g fat. Gluten Free • Dairy Free. Fresh, chef-made meal prep from The Strong Kitchen in Hamden, CT — fully cooked, just heat and eat. Delivered Sunday/Monday across Connecticut or pick up in Hamden. Ingredients: Chicken thighs, broccoli, medium grain brown rice, sundried tomatoes, garlic, sesame, chile, orange, onion, parsley, chives, salt.	https://thestrongkitchen.com/products/160	https://thestrongkitchen.com/uploads/media/products/160/featured-image/525/crispy-mediterranean-garlic-chicken-corrected.jpg	14.65 USD	in_stock	new	The Strong Kitchen	no	Food, Beverages & Tobacco > Food Items > Prepared Foods	Meals > Complete Meals	no	Meals	Fat Loss	menu-week-2
